Ser un bicho raro,To be a strange creature,To be a freak/weirdo,Ella siempre tiene ideas fuera de lo común; en la escuela la consideraban un bicho raro.,She always has ideas out of the ordinary; At school she was considered a freak. ,,,,,,,,,,,,Ella siempre tiene ideas fuera de lo común; en la escuela la consideraban un bicho raro.
Estar en el quinto pino,To be in the 5th pine (tree),To be in the boonies,"El restaurante al que fuimos a cenar estaba en el quinto pino, nos llevó casi una hora llegar.","The restaurant we went to for dinner in the boonies, it took us almost an hour to get there. ",,,,,,,,,,,,"El restaurante al que fuimos a cenar estaba en el quinto pino, nos llevó casi una hora llegar."
Estar forrado,To be covered,To be loaded (rich),"Después de vender su empresa, ahora está forrado y puede comprar lo que quiera.","After selling his company, he's now loaded and can buy whatever he wants.",,,,,,,,,,,,"Después de vender su empresa, ahora está forrado y puede comprar lo que quiera."
Estirar la pata,To stretch the leg,To kick the bucket,El viejo coche de Carlos finalmente estiró la pata en medio del viaje.,Carlos's old car finally kicked the bucket in the middle of the trip. ,,,,,,,,,,,,El viejo coche de Carlos finalmente estiró la pata en medio del viaje.
"De tal palo, tal astilla","As such (the) stick, such (the splinter)","Like father, like son / The apple doesn’t fall far from the tree","Juan es tan bueno en matemáticas como lo fue su padre; de tal palo, tal astilla.",John is as good at math as his father was; the apple doesn't fall far from the tree. ,,,,,,,,,,,,"Juan es tan bueno en matemáticas como lo fue su padre; de tal palo, tal astilla."
Matar dos pájaros de un tiro,To kill two birds of one throw/shot,To kill two birds with one stone,"Al comprar los boletos de tren con antelación, ahorramos dinero y aseguramos nuestro viaje, matando dos pájaros de un tiro.","By buying the train tickets in advance, we saved money and secured our trip, killing two birds with one stone. ",,,,,,,,,,,,"Al comprar los boletos de tren con antelación, ahorramos dinero y aseguramos nuestro viaje, matando dos pájaros de un tiro."
"Ojos que no ven, corazón que no siente","Eyes than don’t see, heart that doesn’t feel","What the eye doesn’t see, the heart doesn’t grieve over","Prefiero no saber lo que pasó en esa fiesta porque, como dice el dicho, ojos que no ven, corazón que no siente.","I'd rather not know what happened at that party because, as the saying goes, what the eye doesn’t see, the heart doesn’t grieve over. ",,,,,,,,,,,,"Prefiero no saber lo que pasó en esa fiesta porque, como dice el dicho, ojos que no ven, corazón que no siente."
No es oro todo lo que reluce,—,All that glitters is not gold,"Ese reloj parece muy caro, pero recuerda que no es oro todo lo que reluce.","That watch looks very expensive, but remember that all that glitters is not gold. ",,,,,,,,,,,,"Ese reloj parece muy caro, pero recuerda que no es oro todo lo que reluce."
Ser un don nadie,To be a Mr. nobody,To be a nobody,"Aunque en su pueblo era un don nadie, se mudó a la ciudad y logró hacerse famoso.","Although he was a nobody in his village, he moved to the city and managed to become famous. ",,,,,,,,,,,,"Aunque en su pueblo era un don nadie, se mudó a la ciudad y logró hacerse famoso."
Las penas compartidas saben a menos,Shared pains/penalties know less,Two in distress makes sorry less,"Después de hablar con mi amiga sobre mis problemas, me sentí mejor; es cierto que las penas compartidas saben a menos.","After talking to my friend about my problems, I felt better; it's true that two in distress makes sorry less.",,,,,,,,,,,,"Después de hablar con mi amiga sobre mis problemas, me sentí mejor; es cierto que las penas compartidas saben a menos."
Salir del armario,—,To come out of the closet (to be gay),Juan decidió salir del armario y contarles a sus padres sobre su orientación sexual.,Juan decided to come out of the closet and tell his parents about his sexual orientation. ,,,,,,,,,,,,Juan decidió salir del armario y contarles a sus padres sobre su orientación sexual.
Es la gota que colma el vaso,Is the drop that fills the glass,It’s the straw that breaks the camel’s back,"Cuando olvidó nuestro aniversario, fue la gota que colmó el vaso y decidí terminar la relación.","When she forgot about our anniversary, it was the straw that broke the camel's back and I decided to end the relationship. ",,,,,,,,,,,,"Cuando olvidó nuestro aniversario, fue la gota que colmó el vaso y decidí terminar la relación."
Sobre gustos no hay nada escrito,"About tastes, there is nothing written",There’s no accounting for tastes,"Ella adora la música clásica y él el rock pesado, pero sobre gustos no hay nada escrito.","She loves classical music and he loves heavy rock, but there's nothing written about tastes. ",,,,,,,,,,,,"Ella adora la música clásica y él el rock pesado, pero sobre gustos no hay nada escrito."
Estar como unas castañuelas,To be like a pair of castanets (spanish hand instrument),To be happy as a clam,Estaba como unas castañuelas cuando le dieron la noticia de que había pasado el examen.,He was happy as a clam when he got the news that he had passed the test. ,,,,,,,,,,,,Estaba como unas castañuelas cuando le dieron la noticia de que había pasado el examen.
Las apariencias engañan,Appearances deceive,Looks can be deceiving,"Parecía un lugar sencillo y sin pretensiones, pero la comida era increíblemente buena. Sin duda, las apariencias engañan.","It seemed like a simple and unpretentious place, but the food was incredibly good. Undoubtedly, looks can be deceiving. ",,,,,,,,,,,,"Parecía un lugar sencillo y sin pretensiones, pero la comida era increíblemente buena. Sin duda, las apariencias engañan."
En la variedad está el gusto,In the variety is the like,Variety is the spice of life,Me gusta probar comidas de diferentes culturas porque en la variedad está el gusto.,I like to try foods from different cultures because variety is the spice of life.,,,,,,,,,,,,Me gusta probar comidas de diferentes culturas porque en la variedad está el gusto.
Ser un pez gordo,To be a fat fish,To be a big fish,Se convirtió en un pez gordo de la industria después de que su invento revolucionara el mercado.,He became a big fish in the industry after his invention revolutionized the market. ,,,,,,,,,,,,Se convirtió en un pez gordo de la industria después de que su invento revolucionara el mercado.
Más vale maña que fuerza,Better skill than strength,Brain over brawn,"Cuando intentas abrir ese frasco, recuerda que más vale maña que fuerza.","When you try to open that jar, remember brain over brawn. ",,,,,,,,,,,,"Cuando intentas abrir ese frasco, recuerda que más vale maña que fuerza."
"Al pan,pan … y al vino, vino","The bread, bread; and the wine, wine",To call a spade a spade,"Siempre me gusta hablar claro, al pan, pan y al vino, vino; así todos sabemos a qué atenernos.","I always like to speak plainly, to call a spade a spade, so we all know where we stand. ",,,,,,,,,,,,"Siempre me gusta hablar claro, al pan, pan y al vino, vino; así todos sabemos a qué atenernos."
"Hoy por tí, Mañana por mí","Today for you, tomorrow for me",You scratch my back I’ll scratch yours,"Gracias por ayudarme con la mudanza. Recuerda, hoy por ti, mañana por mí.","Thank you for helping me with the move. Remember, you scratch my back i’ll scratch yours.",,,,,,,,,,,,"Gracias por ayudarme con la mudanza. Recuerda, hoy por ti, mañana por mí."
"Quien no arriesga, no gana","Who doesn’t risk, doesn’t win","Nothing ventured, nothing gained","Decidió invertir en un negocio nuevo, pensando que quien no arriesga, no gana.","He decided to invest in a new business, thinking that nothing ventured, nothing gained.",,,,,,,,,,,,"Decidió invertir en un negocio nuevo, pensando que quien no arriesga, no gana."
"Perro ladrador, poco mordedor","Barking dog, little biter",Barking dogs never bite,"No te preocupes por sus amenazas, ya sabes que perro ladrador, poco mordedor.","Don't worry about his threats, barking dogs never bite. ",,,,,,,,,,,,"No te preocupes por sus amenazas, ya sabes que perro ladrador, poco mordedor."
Más vale prevenir que curar,—,Better to prevent than to cure,"Siempre llevo un paraguas en el bolso, porque más vale prevenir que curar.","I always carry an umbrella in my bag, because it is better to prevent than to cure. ",,,,,,,,,,,,"Siempre llevo un paraguas en el bolso, porque más vale prevenir que curar."
Hacer el mono,To do the monkey,To be the clown,Los niños estaban haciendo el mono en el patio y no paraban de reírse.,The kids were being a clown in the playground and couldn't stop laughing. ,,,,,,,,,,,,Los niños estaban haciendo el mono en el patio y no paraban de reírse.
No hay mal que por bien no venga,There isn’t bad because good it didn’t come,Every cloud has a silver lining,"Aunque me despidieron, encontré un trabajo mejor, así que no hay mal que por bien no venga.","Even though I got fired, I found a better job, so every cloud has a silver lining.",,,,,,,,,,,,"Aunque me despidieron, encontré un trabajo mejor, así que no hay mal que por bien no venga."
Todos los caminos llevan a roma,—,All (the) roads lead to Rome,"No importa qué método uses para estudiar, todos los caminos llevan a Roma.","No matter what method you use to study, all roads lead to Rome. ",,,,,,,,,,,,"No importa qué método uses para estudiar, todos los caminos llevan a Roma."
Tener mala leche,To have bad milk,To be a bad apple,Es mejor no tratar con él cuando está enfadado porque tiene mala leche.,It's best not to deal with him when he's angry because he's a bad apple. ,,,,,,,,,,,,Es mejor no tratar con él cuando está enfadado porque tiene mala leche.
Romper el hielo,—,To break the ice,"En la fiesta, Juan contó un chiste para romper el hielo y todos se relajaron.","At the party, Juan told an icebreaker joke and everyone relaxed. ",,,,,,,,,,,,"En la fiesta, Juan contó un chiste para romper el hielo y todos se relajaron."
Dios los cría y ellos se juntan,God raises them and they come together,Birds of a feather flock together,Mira a esos políticos corruptos juntos; dios los cría y ellos se juntan.,Look at those corrupt politicians together; birds of a feather flock together.,,,,,,,,,,,,Mira a esos políticos corruptos juntos; dios los cría y ellos se juntan.
Más vale tarde que nunca,—,Better late than never,"Finalmente limpiaste tu cuarto, más vale tarde que nunca.","You've finally cleaned out your room, better late than never. ",,,,,,,,,,,,"Finalmente limpiaste tu cuarto, más vale tarde que nunca."
Ser la media naranja,To be the half orange,To be the better half,"Ella no solo es mi esposa, también es mi media naranja.","She's not only my wife, she's also my better half. ",,,,,,,,,,,,"Ella no solo es mi esposa, también es mi media naranja."
Meter la pata,To put the foot (in it),Screw up,Metí la pata cuando olvidé el aniversario de nuestra boda.,I screwed up when I forgot our wedding anniversary. ,,,,,,,,,,,,Metí la pata cuando olvidé el aniversario de nuestra boda.
Ser un chaquetero,To be a turncoat,To be a flip-flopper,Cambió de equipo cuando los suyos empezaron a perder; es un verdadero chaquetero.,He changed teams when his team started to lose; he's a real flip-flopper. ,,,,,,,,,,,,Cambió de equipo cuando los suyos empezaron a perder; es un verdadero chaquetero.
A buen entendedor pocas palabras bastan,To (be a) good listener few words are sufficient,A word to the wise (is enough),"No necesito explicarte el por qué, a buen entendedor, pocas palabras bastan.","I don't need to explain to you why,  a word to the wise is enough. ",,,,,,,,,,,,"No necesito explicarte el por qué, a buen entendedor, pocas palabras bastan."
"Quien fue a Sevilla, perdió su silla","(He) Who went to Sevilla, lost his seat","You snooze, you loose","Salí un momento y al volver mi hermano había ocupado mi lugar en el sofá. Quien fue a Sevilla, perdió su silla.","I went out for a moment, and when I came back my brother had taken my place on the sofa. You snooze, you loose. ",,,,,,,,,,,,"Salí un momento y al volver mi hermano había ocupado mi lugar en el sofá. Quien fue a Sevilla, perdió su silla."
Pillarse un pedo,To pinch a fart,To get drunk,En la celebración se pilló un pedo; no podía ni hablar.,At the celebration he got drunk; he couldn't even speak. ,,,,,,,,,,,,En la celebración se pilló un pedo; no podía ni hablar.
Estar como una cabra,To be like a goat,To be crazy,"Mi tío siempre anda haciendo cosas raras, está como una cabra.","My uncle is always doing weird things, he's crazy. ",,,,,,,,,,,,"Mi tío siempre anda haciendo cosas raras, está como una cabra."
Ser pan comido,To be eaten bread,Easy as pie,"No te preocupes por el examen de mañana, va a ser pan comido.","Don't worry about tomorrow's exam, it's going to be a piece of cake. ",,,,,,,,,,,,"No te preocupes por el examen de mañana, va a ser pan comido."
Por si las moscas,For if the flies,Just in case,"Voy a llevarme un paraguas por si las moscas, parece que podría llover.","I'm going to take an umbrella just in case, it looks like it might rain. ",,,,,,,,,,,,"Voy a llevarme un paraguas por si las moscas, parece que podría llover."
Hacer la pelota,To do the ball,To suck up,Juan siempre está haciendo la pelota al jefe para conseguir lo que quiere.,John is always sucking up to the boss to get what he wants. ,,,,,,,,,,,,Juan siempre está haciendo la pelota al jefe para conseguir lo que quiere.
Arrimar el hombro,Lend/Pull up a shoulder,Give a hand,"Cuando se enfermó su colega, María arrimó el hombro para ayudar a terminar el proyecto.","When her colleague got sick, Maria lended his hand to help finish the project. ",,,,,,,,,,,,"Cuando se enfermó su colega, María arrimó el hombro para ayudar a terminar el proyecto."
Ser un cero a la izquierda,To be a zero on the left,To be worthless,"En ese grupo grande, me siento como un cero a la izquierda, nadie nota si estoy o no.","In that big group, I feel worthless, no one notices if I'm there or not. ",,,,,,,,,,,,"En ese grupo grande, me siento como un cero a la izquierda, nadie nota si estoy o no."
Costar un ojo de la cara,To cost and eye from the face,To cost an arm and a leg,"Ese reloj me costó un ojo de la cara, pero vale cada centavo.","That watch cost me an arm and a leg, but it's worth every penny. ",,,,,,,,,,,,"Ese reloj me costó un ojo de la cara, pero vale cada centavo."
Cada dos por tres,Every two times three,To happen frequently,Mi hermano me llama cada dos por tres; es realmente pegajoso.,My brother calls me every now and then; he is very needy. ,,,,,,,,,,,,Mi hermano me llama cada dos por tres; es realmente pegajoso.
Buscarle tres pies al gato,To look for three feet on the cat,To make something more complicated than necessary,"No compliques la situación buscándole tres pies al gato, es bastante simple.","Don't complicate the situation by making things more complicated than necessary, it's quite simple. ",,,,,,,,,,,,"No compliques la situación buscándole tres pies al gato, es bastante simple."
Ser cuatro gatos,To be four cats,To be very few people,"En la reunión éramos cuatro gatos, casi nadie asistió.","There were very few of us at the meeting, almost no one attended. ",,,,,,,,,,,,"En la reunión éramos cuatro gatos, casi nadie asistió."
Estar en el quinto pino,To be in the fifth pine,To be in the boonies,"El hotel estaba en el quinto pino, tuvimos que caminar muchísimo para llegar al centro.","The hotel was in the boonies, we had to walk a lot to get to the center. ",,,,,,,,,,,,"El hotel estaba en el quinto pino, tuvimos que caminar muchísimo para llegar al centro."
Entrar los siete males,To enter the seven evils,To be in hell,"Desde que comenzó el invierno, parece que me han entrado los siete males, no he parado de enfermarme.","Since the beginning of winter, it feels like hell, I have not stopped getting sick. ",,,,,,,,,,,,"Desde que comenzó el invierno, parece que me han entrado los siete males, no he parado de enfermarme."
Más chulo que un ocho,More cool than an eight,To be too cool,"Ese coche nuevo es más chulo que un ocho, todos se giran a mirarlo.","That new car is too cool, everyone turns to look at it. ",,,,,,,,,,,,"Ese coche nuevo es más chulo que un ocho, todos se giran a mirarlo."
Meterse en camisas de once varas,To get into a shirt of 11 sticks (pieces of cloth),To make a mountain out of a mole hill,Se metió en camisas de once varas al tratar de mediar en esos problemas familiares.,He made a mountain out of a molehill trying to mediate those family problems. ,,,,,,,,,,,,Se metió en camisas de once varas al tratar de mediar en esos problemas familiares.
Seguir en sus trece,To follow your thirteen,To be headstrong or stubborn,"Aunque todos le aconsejan lo contrario, él sigue en sus trece de no vender la casa.","Although everyone advises him otherwise, he is still stubborn about not selling the house. ",,,,,,,,,,,,"Aunque todos le aconsejan lo contrario, él sigue en sus trece de no vender la casa."
Ser un chorizo,To be a chorizo (sausage),To be a thief,"Ese político es un chorizo, siempre está involucrado en escándalos de corrupción.","That politician is a thief, he's always involved in corruption scandals. ",,,,,,,,,,,,"Ese político es un chorizo, siempre está involucrado en escándalos de corrupción."
Ser el año de la pera,To be the year of the pear,To be out of fashion,¡Tu móvil es del año de la pera!,Your phone is ancient!,,,,,,,,,,,,¡Tu móvil es del año de la pera!
Ser carne de cañón,To be meat from the cannon,To be fish bate/thrown under the bus,Los soldados novatos a menudo son carne de cañón en los conflictos grandes.,Novice soldiers are often thrown under the bus in large conflicts. ,,,,,,,,,,,,Los soldados novatos a menudo son carne de cañón en los conflictos grandes.
Estar mala uva,To be bad grapes,"To be grumpy, in a bad mood","No hables con el jefe hoy, está mala uva porque han bajado las ventas.","Don't talk to the boss today, he’s in a bad mood because sales are down. ",,,,,,,,,,,,"No hables con el jefe hoy, está mala uva porque han bajado las ventas."
Estar como un fideo,To be like a noodle,To be thin as a rail,"Después de tantos meses en el gimnasio, ahora está como un fideo.","After so many months in the gym, he's thin as a rail. ",,,,,,,,,,,,"Después de tantos meses en el gimnasio, ahora está como un fideo."
Estar como una sopa,To be like soup,To be soaked to the bone,"Con toda esa lluvia, llegué a casa y estaba como una sopa.","With all that rain, I came home and I soaked to the bone. ",,,,,,,,,,,,"Con toda esa lluvia, llegué a casa y estaba como una sopa."
Importar un pimiento,To matter a pepper,Doesn’t matter / don’t give a crap,A él le importa un pimiento lo que los demás piensen de su estilo.,He doesn't give a damn what other people think of his style. ,,,,,,,,,,,,A él le importa un pimiento lo que los demás piensen de su estilo.
¡Ostras!,Oysters!,Holy moley!,¡Ostras! ¿Viste eso? ¡El coche casi se estrella!,Holey Moley! Did you see that? The car almost crashed! ,,,,,,,,,,,,¡Ostras! ¿Viste eso? ¡El coche casi se estrella!
Estar hasta las narices,To be up to the noses,To be fed up,Estoy hasta las narices de tus quejas.,I'm fed up with your complaints. ,,,,,,,,,,,,Estoy hasta las narices de tus quejas.
Hacerse la boca agua,,To make ones mouth water,Solo de pensar en la paella que hace mi abuela se me hace la boca agua.,Just thinking about the paella my grandmother makes makes my mouth water. ,,,,,,,,,,,,Solo de pensar en la paella que hace mi abuela se me hace la boca agua.
Estar con el agua al cuello,To be with water to the neck,To be up to your neck / underwater,"Con todas estas deudas, estoy con el agua al cuello.","With all these debts, Its up to my neck. ",,,,,,,,,,,,"Con todas estas deudas, estoy con el agua al cuello."
Echar una mano a alguien,To throw a hand to someone,To lend a hand,"Si necesitas ayuda con la mudanza, yo te puedo echar una mano.","If you need help with the move, I can lend you a hand. ",,,,,,,,,,,,"Si necesitas ayuda con la mudanza, yo te puedo echar una mano."
Meterse hasta la cabeza en algo,To be in up to ones head in something,To be fully involved/completely immersed,Se metió hasta la cabeza en el proyecto y no salía de su oficina en días.,He got completely immersed into the project and hadn't left his office in days. ,,,,,,,,,,,,Se metió hasta la cabeza en el proyecto y no salía de su oficina en días.
No dar pie con bola,To not give a foot with a ball/To not be on the ball,Can’t do anything right,Estaba tan nervioso durante la entrevista que no daba pie con bola.,I was so nervous during the interview that I couldn't get my foot down. ,,,,,,,,,,,,Estaba tan nervioso durante la entrevista que no daba pie con bola.
"Poner el mal tiempo, buena cara","To put to bad weather, a good face",To put on a happy face / look at the bright side,"Aunque recibió malas noticias, puso el mal tiempo, buena cara delante de sus hijos.","Although she received bad news, she looked on the bright side.",,,,,,,,,,,,"Aunque recibió malas noticias, puso el mal tiempo, buena cara delante de sus hijos."
Hablar por los codos,To talk through your elbows,To talk a lot,"Ella puede hablar por los codos, nunca se queda sin temas de conversación.","She can talk a lot, she never runs out of topics of conversation. ",,,,,,,,,,,,"Ella puede hablar por los codos, nunca se queda sin temas de conversación."
Levantarse con mal pie,To wake up with the wrong foot,To wake up on the wrong side of the bed,Hoy me levanté con mal pie y todo me ha ido mal.,Today I woke up on the wrong side of the bed and everything went wrong for me. ,,,,,,,,,,,,Hoy me levanté con mal pie y todo me ha ido mal.
No pegar ojo,To not paste an eye,To not sleep a wink,Estaba tan preocupado que no pegué ojo en toda la noche.,I was so worried that I didn't sleep a wink all night. ,,,,,,,,,,,,Estaba tan preocupado que no pegué ojo en toda la noche.
Estar loco con contento,To be crazy with happiness,To be over the moon,"Cuando le dijeron que había ganado el premio, estaba loco con contento.","When he was told he had won the prize, he was over the moon. ",,,,,,,,,,,,"Cuando le dijeron que había ganado el premio, estaba loco con contento."
"Perro flaco, todo son pulgas","Skinny dog, covered in fleas","It never rains but it pours/when it rains, it pours","Desde que perdió el empleo, parece que no puede catch a break; ya sabes, perro flaco, todo son pulgas.","Since he lost his job, he can't seem to catch a break; you know, when it rains, it pours.",,,,,,,,,,,,"Desde que perdió el empleo, parece que no puede catch a break; ya sabes, perro flaco, todo son pulgas."
Fue bonito mientras duró,,It was good while it lasted,Terminamos nuestra relación amistosamente; fue bonito mientras duró.,We ended our relationship amicably; it was nice while it lasted. ,,,,,,,,,,,,Terminamos nuestra relación amistosamente; fue bonito mientras duró.
Cada loco con su tema,Each crazy with his theme,To each his own,"No es el tipo de carro que yo me compraría, pero cada loco con su tema.","It's not the kind of car I'd buy, but to each his own. ",,,,,,,,,,,,"No es el tipo de carro que yo me compraría, pero cada loco con su tema."
"Quien ríe el último, ríe mejor",,"He who laughs last, laughs best","Pensaron que me habían vencido, pero gané el juicio. Quien ríe el último, ríe mejor.","They thought they had beaten me, but I won the trial. He who laughs last, laughs best. ",,,,,,,,,,,,"Pensaron que me habían vencido, pero gané el juicio. Quien ríe el último, ríe mejor."
Ser un caracol,To be a snail,To be very slow,"Siempre llega tarde a sus citas, es un caracol haciendo todo.","He's always late for his appointments, he's very slow at doing everything. ",,,,,,,,,,,,"Siempre llega tarde a sus citas, es un caracol haciendo todo."
Esto es cosa de dos,This is a thing of two,It takes two to tango,"El amor es cosa de dos, y si ustedes se gustan yo no los voy a detener.","Love takes two to tango, and if you two like each other, I won't stop you.",,,,,,,,,,,,"El amor es cosa de dos, y si ustedes se gustan yo no los voy a detener."
"Donde comen dos, comen tres","Where two eat, three eat",There’s always room for one more,"No te preocupes por quedarte a cenar, donde comen dos, comen tres.","Don't worry about staying for dinner, there is always room for more.",,,,,,,,,,,,"No te preocupes por quedarte a cenar, donde comen dos, comen tres."
"No por mucho madrugar, amanece más temprano","Not by getting up very early, it dawns earlier",Getting up early doesn’t make the sun rise sooner,"No te agobies trabajando toda la noche, no por mucho madrugar amanece más temprano.","Don't overwhelm yourself by working all night, getting up early doesn’t make the sun rise sooner.",,,,,,,,,,,,"No te agobies trabajando toda la noche, no por mucho madrugar amanece más temprano."
¡De ninguna manera!,Of no way!,No way!,¿Cancelar nuestras vacaciones? ¡De ninguna manera!,Cancel our vacation? No way! ,,,,,,,,,,,,¿Cancelar nuestras vacaciones? ¡De ninguna manera!
Irse por las ramas,To go by the bushes,To beat around the bush,"Cuando le pregunté por el dinero, se fue por las ramas y nunca dio una respuesta clara.","When I asked him about the money, he beat around the bush and never gave a clear answer. ",,,,,,,,,,,,"Cuando le pregunté por el dinero, se fue por las ramas y nunca dio una respuesta clara."
Así es la vida,Thus is life,That’s life,"Me hubiera gustado ganar, pero perdí. Así es la vida.","I would have liked to win, but I lost. That's life. ",,,,,,,,,,,,"Me hubiera gustado ganar, pero perdí. Así es la vida."
No buscarle pulgas al perro,Don’t look for flees on the dog,Let sleeping dogs lie,"No empieces a buscar problemas donde no los hay, no le busques pulgas al perro.","Don't start looking for problems where there aren't any, let sleeping dogs lie.",,,,,,,,,,,,"No empieces a buscar problemas donde no los hay, no le busques pulgas al perro."
Hacer borrón y cuenta nueva,Do the big erase and new account,Wipe the slate clean,Decidimos dejar atrás los problemas y hacer borrón y cuenta nueva en nuestra amistad.,We decided to leave the problems behind and wipe the slate clean in our friendship. ,,,,,,,,,,,,Decidimos dejar atrás los problemas y hacer borrón y cuenta nueva en nuestra amistad.
Ahogar las penas,To drown the miseries,To drown ones sorrows,"Después de la ruptura, fue al bar a ahogar las penas con alcohol.","After the breakup, he went to the bar to drown his sorrows with alcohol. ",,,,,,,,,,,,"Después de la ruptura, fue al bar a ahogar las penas con alcohol."
Todo a su debido tiempo,All in its due time,All in good time,"Quiero que nuestra relación avance a la siguiente etapa, pero todo a su debido tiempo.","I want our relationship to move to the next stage, but all in due time. ",,,,,,,,,,,,"Quiero que nuestra relación avance a la siguiente etapa, pero todo a su debido tiempo."
Estar frito,To be fried,To be sleeping,"Después de trabajar doce horas seguidas, estaba frito.","After working twelve hours straight, he was tired. ",,,,,,,,,,,,"Después de trabajar doce horas seguidas, estaba frito."
Ligarse a alguien,To link to someone,To hook up/ pick up someone,"En la fiesta, intentó ligarse a alguien con su nuevo look.","At the party, she tried to hook up with someone with her new look. ",,,,,,,,,,,,"En la fiesta, intentó ligarse a alguien con su nuevo look."
Cuenta conmigo,Count with me,Count me in,"Si necesitas ayuda con la mudanza, cuenta conmigo.","If you need help with the move, please count me in. ",,,,,,,,,,,,"Si necesitas ayuda con la mudanza, cuenta conmigo."
Dar en el clavo,To give (hit) in the nail,Hit the nail on the head,"Cuando sugirió cambiar la estrategia de marketing, realmente dio en el clavo.","When he suggested changing the marketing strategy, he really hit the nail on the head. ",,,,,,,,,,,,"Cuando sugirió cambiar la estrategia de marketing, realmente dio en el clavo."
Ya estamos otra vez,already we are again,Here we go again,"Comenzó a llover justo cuando salimos, ya estamos otra vez.","It started raining just as we left, here we go again. ",,,,,,,,,,,,"Comenzó a llover justo cuando salimos, ya estamos otra vez."
Hacer puente,Do the bridge,Take a long holiday weekend,"El martes es festivo, así que vamos a hacer puente y no volveremos al trabajo hasta el miércoles.","Tuesday is a public holiday, so we're going to have a long weekend and won't get back to work until Wednesday. ",,,,,,,,,,,,"El martes es festivo, así que vamos a hacer puente y no volveremos al trabajo hasta el miércoles."
Dar alguien con la puerta en las narices,To give someone with the door in the noses,To slam the door in someone’s face,"Fui a comprar entradas, pero cerraron justo antes de que llegara y me dieron con la puerta en las narices.","I went to buy tickets, but they closed just before I arrived and the door was slammed in my face. ",,,,,,,,,,,,"Fui a comprar entradas, pero cerraron justo antes de que llegara y me dieron con la puerta en las narices."
