google_translate,naive_gpt,transidiomation
0.644068,0.169492,0.218182
0.545455,0.266667,0.56
0.627451,0.490566,0.6
0.205128,0.153846,0.162162
1.0,0.941176,0.933333
0.782609,0.285714,0.636364
0.777778,0.666667,0.7
0.44186,0.425532,0.43299
0.363636,0.15,0.285714
0.580645,0.474576,0.407407
0.551724,0.235294,0.258065
0.416667,0.285714,0.307692
0.321429,0.333333,0.3
0.536585,0.533333,0.410256
0.666667,0.62963,0.56
0.296296,0.214286,0.296296
0.603774,0.517241,0.372881
0.363636,0.273973,0.28169
0.366667,0.237288,0.225806
0.4,0.384615,0.384615
0.482759,0.307692,0.137931
0.555556,0.473684,0.4
0.347826,0.232558,0.217391
0.666667,0.681818,0.77551
0.705882,0.333333,0.47619
0.666667,0.727273,0.72
0.507042,0.5,0.450704
0.313253,0.271605,0.282353
0.342857,0.333333,0.363636
0.363636,0.333333,0.3
0.363636,0.206897,0.1875
0.59375,0.483871,0.459016
0.583333,0.413793,0.64
0.444444,0.428571,0.444444
0.458333,0.4,0.346154
0.416667,0.444444,0.416667
0.4,0.3125,0.580645
0.423077,0.340426,0.311111
0.439024,0.358974,0.376471
0.415094,0.464286,0.327273
0.520548,0.379747,0.384615
0.25,0.4,0.4
0.733333,0.411765,0.491228
0.4,0.555556,0.333333
0.675676,0.552632,0.380952
0.440678,0.40678,0.4
0.410256,0.27027,0.277778
0.444444,0.68,0.64
0.555556,0.30303,0.387097
0.75,0.583333,0.454545
0.851064,0.653061,0.823529
0.566667,0.634921,0.590164
0.625,0.25,0.368421
0.229508,0.3125,0.40625
0.470588,0.375,0.529412
0.758621,0.375,0.5
0.388889,0.28125,0.324324
0.361446,0.341463,0.246914
0.375,0.411765,0.588235
0.433333,0.387097,0.483871
0.372093,0.355556,0.444444
0.727273,0.727273,0.727273
0.361446,0.45977,0.511628
0.533333,0.571429,0.375
0.615385,0.428571,0.428571
0.415094,0.245614,0.32
0.432432,0.324324,0.41791
0.575,0.493827,0.5
0.333333,0.37037,0.307692
0.545455,0.310345,0.350877
0.57971,0.352941,0.294118
0.344828,0.266667,0.193548
0.786885,0.349206,0.266667
0.604651,0.526316,0.571429
0.32,0.24,0.62069
0.315789,0.315789,0.2
0.578947,0.636364,0.57971
0.666667,0.608696,0.5
0.444444,0.47619,0.47619
0.37037,0.551724,0.48
0.6,0.842105,0.842105
0.349206,0.188679,0.103448
0.3,0.173913,0.2
0.4,0.222222,0.333333
0.581818,0.466667,0.483871
0.536585,0.285714,0.304348
0.394366,0.295082,0.507042
0.866667,0.571429,0.6875
0.651163,0.45,0.47619
0.682927,0.428571,0.45
0.441176,0.419355,0.34375
0.507937,0.450704,0.457143
0.695652,0.352941,0.382353
0.652174,0.6,0.553191
0.730769,0.408163,0.333333
0.083333,0.16,0.08
0.511628,0.458333,0.36
0.415094,0.192308,0.214286
