Idiom,Example,Translation
말문이 막히다,"Gigi가 그 재킷에 받쳐입을 수많은 블라우스를 보고, 난 말문이 막혔다.",I have choked on too many blouses to let Gigi get that jacket.
시치미를 떼다,아무래도 내가 그런 것을 알고 있는 것 같아. 끝까지 시치미 떼야 넘어갈 수 있겠는걸?,I think he knows that I did it. I can pass it only by playing the innocence till the end.
문턱이 높다,새벽 배송을 앞세운 신선식품 배송 스타트업으로 주목받는 마켓컬리가 시장보다 높은 지분가격과 복잡한 구조 탓에 투자 문턱이 높다는 지적이 나오고 있다.,"Market Curly, which is attracting attention as a fresh food delivery startup with early delivery, has a high investment threshold due to its higher share price and complex structure."
땀 흘리다,세계 시장서 스포트라이트를 받는 한국 대표 수출상품 뒤에는 묵묵히 연구개발에 매진하며 땀 흘린 기계산업이 있었다.,"Behind Korea's representative export product, which received a spotlight in the world market, was the machinery industry, which was devoting itself to research and development."
목이 빠지게 기다리다,이 힙합의 거장이 우리가 목 빠지게 기다리던 4집 앨범을 가지고 돌아왔다.,The virtuoso returns with his long-awaited fourth album.
눈이 뒤집히다,그녀는 그 새차를 보더니 홀딱 눈이 뒤집혔다.,"When she saw that new car, she went crazy over it."
입 다물다,열성 지지자가 아니면 입을 다무는 게 일반적이다.,"Unless you're a enthusiastic supporter, it's common for him to keep your mouth shut."
목숨을 버리다,"피해자를 무고자로 의심하거나 성노동자나 성경험이 많은 여성은 피해자로 취급하지 않는 것, 목숨을 버릴 만큼 강하게 저항하지 않았다는 이유로 피해자가 아니라고 판단하는 것 등이 해당한다.","This includes not treating a victim as a victim, not treating a sex worker or a woman with a lot of sexual experience as a victim, and judging that she is not a victim because she did not resist strongly enough to kill herself."
제동을 걸다,김학용(자유한국당) 국회 환경노동위원회 위원장이 ‘시기상조론’과 ‘기업을 경영할 권리’를 내세워 정부의 국제노동기구(ILO) 핵심협약 비준 움직임에 제동을 걸고 나섰다.,"Kim Hak-yong (Liberty Korea Party), chairman of the National Assembly's Environment and Labor Committee, has put the brakes on the government's move to ratify a key agreement with the International Labor Organization under the slogan of ""timerism"" and ""right to run companies."""
개천에서 용 난다,‘개천에서 용 났다’라는 말은 강의 인생 여정을 잘 설명해 줄 수 있다.,The term ‘rags to riches’ best describes the process for Kang.
손 떼다,특검팀은 마 변호사가 사건에서 손을 뗀 것은 드루킹과의 직접적인 교감에 의한 것일 가능성이 큰 것으로 보고 있다.,The special prosecutor team believes it is highly likely that Lawyer Ma's withdrawal from the case was due to direct communication with Druking.
정곡을 찌르다,"별 생각 없이 해 본 이야기인데, 정곡을 찌른 것 같다.","I’ve said it without thinking, but it seems that it hit the nail on the head."
꿈도 못 꾸다,미국은 이미 아프카니스탄과 이라크에 깊게 개입한 이후 중동에서 발을 빼려 하였고 지상군의 투입은 꿈도 못 꾸고 간헐적인 공군의 공습 정도만 할 수 있었다.,"The U.S. has already tried to pull out of the Middle East since it was deeply involved in Afghanistan and Iraq, and the deployment of ground forces could not be dreamed about but could only carry out intermittent airstrikes of the Air Force."
분위기 있다,"분위기 있는 배경과 소품, 적절한 자연광과 조명 등이 필요하다.","You'll need atmospheric backgrounds, props, appropriate natural light and lighting."
넋 나가다,그는 카메라 플래시를 받아서 넋이 나간 거야?,Did he lose his mind by the camera flash?
잔뼈가 굵다,신광조(61) 사람중심미래교통시민모임 홍보단장은 행정고시에 합격해 광주시 도시교통과 문화정책 분야 등에서 잔뼈가 굵은 정통 관료 출신이다.,"Shin Kwang-jo (age 61), the public relations director of the People-centered Future Transportation Citizens' Association, is a former official who passed the Civil Service Examination and has a lot of experience in city traffic and culture policies in Gwangju."
꼼짝 않다,꼬마 주인이 아무리 고삐를 당기고 채찍을 휘둘러도 꼼짝하지 않는다.,"No matter how much the owner pulls reins and swings a whip, it does not move."
뭐니 뭐니 해도,"혁명의 시대의 꽃은 뭐니 뭐니 해도 프랑스 대혁명(1789년)인데, 이 혁명의 주체세력이 세운 공화정부도 이성 중심의 정책을 최우선과제로 제시하였다.","The flower of the revolutionary era, however, was the French Revolution (1789), and the republican government, which was founded by the major force of the revolution, also presented rational-centered policies as its top priority."
기가 막히다,그녀는 그의 뻔뻔함에 기가 막혔다,She was dumbfounded by his shamelessness.
메가폰을 잡다,이정범 감독이 메가폰을 잡은 <악질경찰>은 세월호를 간접적으로 소환한다.,"Director Lee Jung-beom's ""The Evil Police"" summons the Sewol Ferry indirectly."
입 모으다,전문가들은 ‘며느리’가 대한민국 남성의 위선과 여성의 열악한 삶을 동시에 드러내는 ‘코드’로 자리 잡았다고 입을 모았다.,Experts said that 'the daughter-in-law' has become a 'code' that reveals the hypocrisy of Korean men and the poor lives of women at the same time.
구색 맞추다,"구색을 맞추겠다는 학생들이 많아서 학종 2개, 논술 2개 등등 이런 식으로 메뉴구성을 하는데, 애초에 정시 올인 하겠다고 생각했다면, 그냥 6논술이 제일 좋다.","There are a lot of students who want to complete an assortment of 2 kinds of students files, 2 essay writings, and so on. But just 6 essay writings are best for the CSAT if you determine to put all your effort as CSAT."
호흡을 맞추다,지난해 큰 사랑을 받은 JTBC 드라마 ‘밥 잘 사주는 예쁜 누나’에서 호흡을 맞췄던 안판석 감독과 김은 작가가 그려내는 설렘 가득한 로맨스 드라마다.,"It is a drama full of romance by director Ahn Pank-suk and writer Kim Eun, who worked together in the much-loved JTBC drama ""Pretty Noona Who Buys Me Meals,"" last year."
답이 안 나오다,떡을 안 먹으면 당신 떡 안 좋아 한다 이렇게 말하면 답이 안 나온다.,Saying that you don't like rice cake if you don't eat rice cake is not an answer.
보통 아니다,학기별로 대회를 두 번 여는데 열기가 보통이 아니다.,It is not normal to hold two competitions per semester.
사랑을 속삭이다,"결혼 전, 대학을 다닐 때나 직장을 다닐 때는 원하는 대상과 공원이나 기숙사 그늘에서 연인과 사랑을 속삭이더라도 막상 결혼해야 한다는 부모의 제안이 오면 군소리 없이 속눈물을 삼키며 이를 받아들인다.","When you're in college or at work, before marriage, you'll whisper your love and love in the shadow of a park or dormitory, but when your parent suggests that you should get married, you swallow your tears without shouts and accept it."
미역국을 먹다,그는 2년 동안 준비한 공무원 시험에서 미역국을 먹었다.,He failed the civil service exam that he had prepared for for two years.
운 떼다,정부가 운을 떼고 면제 프로젝트를 발표하기까지 딱 3개월 걸렸다.,It took just three months for the government to cast its luck and announce the exemption project.
이를 악물다,성폭력 피해자는 눈물 바람으로 방구석에 처박혀 해결의 손길을 기다려야 한다는 통념을 깨기 위해 그가 지금도 얼마나 이를 악물고 싸우고 있는가 느껴져서다.,I can feel how much he is still gritting his teeth to break the conventional belief that victims of sexual violence should be stuck in the room in tears and wait for someone who would help.
눈 맞추다,대화를 할 땐 언제나 눈을 맞추세요.,Have eye contact when you talk.
세상 뜨다,톱스타를 꿈꾸던 여배우가 세상을 뜨기 전 마지막으로 글을 남기면서 알지도 못하는 사람을 콕 짚어 거론할 리는 없을 테니까.,The actress who dreamed of becoming a top star would not be able to talk about someone she didn't know by writing her last words before she died.
고양이에게 생선을 맡기다,고양이한테 생선 가게를 맡긴 꼴이 되었다,It's like having the fox guard the henhouse.
울며 겨자 먹기,나는 울며 겨자 먹기로 그 요구에 응했다,I had to bite the bullet and backed down on the demand.
쐐기 박다,세라 허커비 샌더스 백악관 대변인은 나바로 국장의 인터뷰가 보도된 뒤 기자들을 만나 모든 나라가 대상이라고 쐐기를 박았다.,White House press secretary Sarah Huckabee Sanders met with reporters after Navarro's interview and stressed that all countries are targets.
아닐 수 없다,적자 국채 발행과 KT&G 사장 교체가 미수에 그쳤지만 그의 폭로가 사실이라면 심각한 국정 농단이 아닐 수 없다.,"The issuance of deficit-ridden state bonds and the replacement of KT&G CEO have only been attempted, but if his revelations are true, it will be a serious manipulation of state affairs."
일손 놓다,비정규 노동자들이 일손을 놓고 농성을 벌이자 범퍼 생산이 멈췄다.,The production of the bumper stopped when irregular workers stopped their work and staged a sit-in.
밑 빠진 독,사실상 나라 재정 없이는 살아갈 수 없는 농업에 대해 ‘밑 빠진 독에 물 붓기’식 지원이 진행되고 있는 셈이다.,"In effect, the government is providing support to agriculture, which cannot survive without the nation's finances, by ”wild-goose chase.”"
보란 듯이,"무리뉴 감독과 불화가 끊이지 않았던 폴 포그바, 앙토니 마르시알은 보란 듯이 공격을 주도하며 솔샤르 감독의 첫 승을 도왔다.","Paul Pogba and Anthony Marsial, who remained at odds with Director Mourinho, led the attack in a proud manner to help Director Solshar win his first match."
뒤통수 맞다,높은 교육열과 치열한 경쟁이 펼쳐지는 만큼 엄격한 내신관리가 있을 것으로 믿은 학생·학부모와 교육단체들은 뒤통수를 맞은 격이 됐고 전체 고등학교로 불신이 확산되고 있다.,"Students, parents, and education groups, who believed that there would be strict school management as high education fever and fierce competition, have been put on the back burner, and distrust is spreading to all high schools."
입이 딱 벌어지다,유희동 국장은 28일 밤 출입기자들에게 문자를 보내 “당황스러움을 넘어 입이 딱 벌어질 정도로 상상하지 못한 현상”이라고 토로했다.,"Director Yoo Hee-dong sent a text message to reporters at night of the 28th, saying, ""This is an unexpected phenomenon that is beyond my imagination that my mouth pops open."""
급한 불을 끄다,"실제로 지난 제천·KAL컵 남자프로배구대회에서 이 문제가 두드러졌고, 결국 최태웅 감독은 박주형을 투입해 급한 불을 꺼야 했다.","In fact, the problem was highlighted at the last Jecheon and KAL Cup men's professional volleyball tournament, and manager Choi Tae-woong had to put Park on the line to put out the urgent fire."
입 막다,"홍준표 자유한국당 대표가 자신의 교육감 후보 투표 발언에 대한 선거관리위원회 조사를 “야당 대표의 입을 막는 행위""라고 비판했다.","Regarding the Election Commission's investigation of the mention of his vote for a superintendent of an office of education, Hong Joon-pyo, the leader of the Liberty Korea Party, criticized, ""It is an action to silence the leader of the opposition party."""
꿩 먹고 알 먹고,치약을 사면 칫솔을 사은품으로 준다니 꿩 먹고 알 먹고네,I bought toothpaste and they gave me a free toothbrush. Two birds one stone!
뿌리 뽑다,"동기, 선후배 사이에서 빗나간 경쟁심은 어쩌면 한국 축구의 미래로 성장할지 모를 유망주의 ‘뿌리’를 파내고 뽑았다.","Distorted rivalry among colleagues and senior and juniors is digging up the ""root"" of promising players who may grow into the future of Korean football."
꼬리를 치다,그 여자는 내 남자친구에게 꼬리를 쳤다,She’s always flirting with my boyfriend!
머리가 복잡하다,하정우는 머리가 복잡할 땐 이런 말을 내뱉는다고 한다.,It is said that Ha Jung-woo spits out these words when his head is full of complications.
울음을 삼키다,곳곳에서 치솟아 오르는 울음을 힘겹게 삼키는 소리가 들려왔다.,There were sounds of fighting back tears from all over the place.
기지개를 켜다,김기현 전 울산시장의 측근들이 차례로 무혐의를 받자 황 청장을 향한 보수 진영의 특검 공세가 기지개를 켜고 있다.,"As the former Ulsan Mayor Kim Ki-hyun's close associates were acquitted one after another, a special investigation offensive aimed at chief Hwang has begun by the conservative camp."
심장이 뛰다,난 아직도 항상 너를 보면 내 심장이 뛰어.,My heart beats still whenever I look at you.
첫발을 떼다,중장기 교육정책 수립을 위한 국가교육위원회가 출범을 위한 첫발을 뗐다.,The National Education Commission for the establishment of the mid- to long-term education policy took the first step.
가재는 게 편이다,가재는 게 편이라고 그 사람들은 자기네 동네 사람을 도와줄 거야.,Birds of a feather flock together. They're going to help the people in their town.
그럼에도 불구하고,그럼에도 불구하고 박 부의장은 계속해서 가이드를 폭행했고 이를 보다 못한 버스 운전기사가 만류했지만 소용이 없었다.,"Nevertheless, Park continued to assault the guide and the bus driver tried to dissuade it, but it was useless."
넋 잃다,제가 아마도 넋을 잃었었는가 봅니다.,I was probably fascinated.
하늘과 땅,당신과 저의 게임 레벨의 차이는 하늘과 땅 차이입니다.,The difference in skills of the game level of you and I is like the distance between the sky and ground.
간담이 서늘하다,건설 노동조합은 구원을 보아서 공무원들과 선생들은 간담이 서늘해졌습니다.,Construction trade unions see salvation; government workers and teachers are appalled.
눈길 모으다,신민아가 대체 불가한 미모를 뽐내 눈길을 모았다.,Shin Min-ah showed off her irreplaceable beauty that attracted attention.
남의 떡이 더 커 보인다,인간은 이기적이고 탐욕적인 본성 때문에 남의 떡이 더 커 보인다고 생각하는 경우가 많다.,"The selfish, greedy nature of humans often leads people to believe that the grass is always greener on the other side of the fence."
판에 박히다,"중국에서 한국 영화에 대한 평은 대체로 좋지만, 판에 박힌 듯한 인상이 있는데 이러한 고정관념을 깨고 계속해서 발전하고 있는 한국 영화의 위상을 한 단계 높여 주었다.","Although reviews of Korean films in China are generally good, there is a stereotyped impression. Also, by breaking these stereotypes, it has elevated the status of Korean films which have continued to evolve."
운전대 잡다,이번주 전세계에서 마지막으로 사우디아라비아 여성들이 운전대를 잡게 됐다.,"This week, Saudi Arabian women will be able to take the wheel for the last in the world."
된서리를 맞다,한때 중국 시장이 우리 콘텐츠 산업의 미래이자 황금알인 것처럼 여기던 중국향 콘텐츠는 된서리를 맞았다.,"The content with a Chinese focus, which once regarded the Chinese market as the future of Korea's content industry and a golden egg, has hit a snag."
총대 메다,"관련 의혹이 걷잡을 수 없이 확산되면서 여권 내에서도 민심 이반 우려에 따른 혼란상이 표면화되기도 했지만, 더불어민주당 이해찬 대표가 총대를 메면서 입장이 정리되는 기류다.","As the suspicion spread, the confusion over concerns about the alienation of public sentiment was apparent in the ruling party, but its position is being settled as Lee Hae-chan, the chairman of Democratic Party of Korea decides the carry the ball."
못 박다,"미국은 지난 7월 중국이 신흥국들을 상대로 ‘부채의 덫 외교’를 한다며, 파키스탄에 투입된 국제통화기금의 구제금융이 대중국 채무 상환에 쓰이면 안 된다고 못을 박았다.","The U.S. said in July that China would engage in ""debt trapping diplomacy"" with emerging economies and that the bailouts of the International Monetary Fund put into Pakistan should not be used to repay the debt to China."
혀를 내두르다,서효원은 “첫 세트 6 대 2로 앞선 가운데 신유빈이 거듭된 공격을 막아내는 바람에 당황해 페이스를 잃었다”고 후배의 당찬 경기력에 혀를 내두르기도 했다.,"While leading 6-for-2 in the first set, Seo Hyo-won was impressed on the junior's confident performance, saying she lost her pace as she was surprised by Shin Yu-bin's repeated blocking of attacks."
가슴에 새기다,한반도기를 가슴에 새기고 하나가 된 남북 유도 단일팀이 2018 세계유도선수권 대회 혼성 단체전에서 값진 동메달을 차지했다.,"The inter-Korean judo single team, which embodied the Korean Peninsula in the heart, won a valuable bronze medal in the 2018 World Judo Championship mixed team match."
눈과 귀가 쏠리다,지난해까지만 해도 무명이었던 그가 감독으로 3연속 우승을 노리는 커 감독의 골든스테이트를 상대로 어떤 지략을 펼칠지에 전세계 농구팬들의 눈과 귀가 쏠리고 있다.,"The eyes and ears of basketball fans around the world are on what strategy he, who was unknown until last year, will play against Coach Kerr's Golden State who is seeking the third consecutive win."
막다른 골목,박홍주(김혜은 분)의 비리를 쫓던 강길영은 범죄의 결정적인 증거를 갖고 있던 김신자(박지아 분)가 사망하며 막다른 골목을 마주쳤다.,"With the death of Kim Shin-ja (acted by Park Ji-ah), who had the decisive evidence of the crime, Kang Gil-young, who was after the corruption case of Park Hong-ju (acted by Kim Hye-eun), is facing the dead end."
일이 꼬이다,"그 친구가 이쪽 전문가라길래 불러서 해결해 보려고 했는데, 일이 더 꼬여버렸다.","It is said that he is an expert in this field, so I called him to solve this problem out, but it became worse."
줄을 서다,"‘우리 사업장에선 5명만 가입할 수 있으니까 그중 한 명이 관두면 그때 가입할 수 있다’는 식인데, 그나마도 순서를 기다리는 대기자가 줄을 서 있다는 뜻이다.","In other words, ""Only five people can sign up at our workplaces, so if one of them quits, they can sign up at that time,"" which means that there are waiting in line for the order."
열매 맺다,“막힌 정국의 물꼬를 틀 수 있기를 바란다”는 문 대통령의 바람이 열매를 맺으려면 회담 형식에서 먼저 유연한 모습을 보여야 한다.,"In order for President Moon's wish to ""turn the lid on the stalled political situation"" to bear fruit, he must first show flexibility in the format of the talks."
입에 대다,아내는 평생 동안 담배를 입에 댄 적이 없었다.,My wife had never smoked in her life.
가방끈이 길다,언니가 나보다 가방끈이 기니까 더 잘 판단할 수 있을 줄 알았어.,"You are more educated than me, so I thought that you can make decisions better."
무릎 꿇다,텍사스가 연장전에서 먼저 기선을 제압하고도 무릎을 꿇었습니다.,Texas lost in overtime even they've got a head start.
말할 수 없다,"좋아하는 아티스트들에게 이러한 플랫폼을 통해 공식적으로 자신들의 관심을 표하는 행위조차도 팬들에게는 즐거움이 될 것이고, 그것이 실제 콘서트로 이어졌을 때 그 기쁨은 이루 말할 수 없을 것이다.","It would be a pleasure for fans to express their interest to their favorite artists through this platform, and it would be more than a joy to be there when it comes to real concerts."
뼈를 깎다,"4년 전 브라질월드컵 때 1무2패, 조 4위의 초라한 성적표를 거두자 대한축구협회는 “뼈를 깎는 노력으로 4년 후를 기약하겠다”라고 다짐했다.","Four years ago, when winning one and two losses and a poor record in the 4th place of the Brazilian World Cup, the Korean Football Association pledged to promise four years later in an effort similar to cutting the bones""."""
계란으로 바위 치기,그가 한 일은 계란으로 바위치기이다.,His work would be but a drop in the ocean.
손꼽아 기다리다,"피치 못할 사정으로 인해서 어쩔 수 없이 행사를 취소하게 되었을 것이라고 생각되지만, 누군가에게는 손꼽아 기다릴 정도로 의미가 컸을 행사이기에 주최 측의 일방적인 통보에 실망한 현지 팬들이 많아 보였다.","It seemed that the organizers had to cancel the event due to unavoidable circumstances, but many local fans were disappointed with their unilateral notification since it was a meaningful event somebody must have been waiting for a long time."
손 벌리다,굳이 일반투자자에게 손을 벌리지 않더라도 굴릴 돈이 마땅치 않은 금융권과 대기업이 꾸준히 돈을 대고 있다.,"Even if they do not open their hands to general investors, the financial sector and large companies, which do not have the money to roll over, are constantly paying for them."
물 건너가다,한국당 지도부 선출을 위한 전당대회가 27일 열릴 예정이어서 여당의 입장 변화가 없는 한 2월 임시국회는 물 건너갈 가능성이 높다.,"A national convention is scheduled to be held on July 27 to elect the leadership of the Liberty Korea party, and unless the ruling party changes its stance, the February extraordinary parliamentary session is likely to go nowhere."
허리띠를 졸라매다,김성태 자유한국당 대표는 11일 국회에서 열린 원내대책회의에서 “한국 경제의 내수와 투자가 모두 부진하다”며 “소득주도 성장 때문에 임금은 큰 폭으로 올랐지만 정작 성장은 둔화되고 서민들은 허리띠를 졸라매는 상황”이라고 지적했다.,"Kim Sung-tae, the chairman of Liberty Korea Party, said at a National Assembly floor meeting on the 11th, ""The domestic economy and investment are all sluggish in the Korean economy."" And he said. ""Wages have risen sharply due to income-led growth policy, but the economic growth has slowed and ordinary people are struggling in this situation."""
다름 아니라,다름이 아니고 예전부터 하고 싶었는데 예전에 너를 처음 봤을 때 내가 너를 귀찮게 해서 정말 미안해!,"I wanted to do this a long time ago, but I am really sorry to have bothered you when we first met!"
입이 가볍다,그녀는 입이 가볍다,She is a big mouth.
하루가 다르다,그는 “하루가 다르게 경제가 악화하는 상황에서 정부가 통제에 방점을 둔 개정안을 낸 것만으로도 기업 활동에는 부정적인 영향을 끼칠 수밖에 없다”고 주장했다.,"With the economy getting deteriorating day by day, the government's mere announcement of a control-focused revision will inevitably have a negative impact on business activities, he claimed."
혹시 몰라,혹시 모르니 현장과 접촉 부위를 사진으로 찍어두겠습니다.,"Just in case, I'll take a photograph of the contact part."
말도 안 되다,"박 시장과 15분가량 대화를 하고 나온 이들은 “말도 안 되는 행정 때문에 질식할 것 같았는데 숨통이 조금은 트인다""고 말했다.","After talking with Mayor Park for about 15 minutes, they said, ""We felt suffocated before because of the administration that made no sense, but now it feels like we can breathe a little."""
귀에 못이 박히다,그 얘기는 귀에 못이 박히도록 들었다,I am sick and tired of hearing that story.
오도 가도 못하다,량은 인준 절차가 길어질 가능성 때문에 직업적으로 너무 오래도록 오도 가도 못하는 어중간한 상태(limbo)가 지속 되는데 부담을 느낀 것으로 전해졌다.,Yang reportedly felt burdened by the possibility of a prolonged limbo state in his profession when the confirmation process drags on.
맞불 놓다,자유한국당 행사 참석 논란을 빚은 자신에게 손학규 대표가 ‘정체성을 분명히 하라’고 경고하자 맞불을 놓은 모양새입니다.,"He caused the controversy over the attendance at the Liberty Korea Party's event and apparently countered the leader Sohn Hak-kyu, when Sohn warned him to ”clearify identity.”"
똥 묻은 개가 겨 묻은 개 나무란다,앤은 언제나 지각하는 주제에 내가 지각하면 뻔뻔스럽게 여러 사람에게 불고 다니는 거야. 정말이지 똥 묻은 개가 겨 묻은 개를 나무란다더니.,"Ann is always late, but she was rude enough to tell everyone when I was late. Now, that's the pot calling the kettle black!"
