idiom,example,translation
죽이 맞다,블룸버그는 특히 트럼프 대통령이 김 위원장을 만나 죽이 맞으면 가을에 자신이 소유한 마러라고 리조트에서 2차 회담을 제안하는 방안을 검토하고 있다고 보도했다.,"Bloomberg said President Trump, in particular, met with Kim and siad If they agree, they are considering proposing a second round of talks at the Marrago resort, which he owns, in the fall, it said."
식은 죽 먹기,2일은 당신에게는 식은 죽 먹기에요.,Two days is a piece of cake for you.
굴레 씌우다,"가임여성 75.4%가 낙태죄를 규정한 형법을 개정해야 한다고 답했다는 한국보건사회연구원의 14일 발표는, 인공임신중절을 이유로 여성들에게 범죄의 굴레를 씌웠던 낡은 조항이 이제 더이상 시대에 맞지 않음을 보여준다.",The Korea Institute for Health and Social Affairs' announcement on the 14th that 75.4 percent of fertile women said the criminal law stipulating abortion should be revised shows that the old clause that put crime on women for abortion is no longer in line with the times.
이야기가 다르다,물론 루이비통이나 프라다 등 유명 브랜드는 이야기가 다를 것이에요.,"Of course, famous brands such as Louis Vuitton or Prada is another story."
된서리를 맞다,"국내 화장품 업계와 여행업계, 숙박업계, 면세점업계는 중국 정부가 자국민들의 단체 한국관광을 막는 바람에 된서리를 맞고 있다.","The domestic cosmetics industry, the travel industry, the lodging industry, and the duty-free shop industry have been frosted by the Chinese government prohibiting the Chinese nationals from traveling to Korea."
핏대 세우다,그런데도 굳이 핏대를 세우며 어쩌고당과 저쩌고당을 짓고 편을 가르는 것이 우리 기성세대의 슬픈 얼굴이 되고 말았다.,"Nevertheless, it has become a sad face of our older generation to get angry, form parties, and divide the two sides."
우레 같은 박수,‘코리아’의 이름이 연호된 순간 경기장은 물론 각국 취재진이 모인 메인프레스센터(MPC)에서도 우레와 같은 박수가 터져 나왔다.,"As 'Korea' was called, there was a thunderous applause at the Main Press Center (MPC) where reporters from all over the world gathered together."
머리 맞대다,LG와 삼성은 모바일 기기 업계에서 머리를 맞대고 싸우는 경쟁 관계입니다.,LG and Samsung are head-to-head competitors in the mobile phone business.
목숨을 버리다,"2장, 챕터 10 ‘주권에 순종하는 삶’ 아래 “네가 나를 위하여 네 목숨을 버리겠느냐”(요 13:38) 등 관련 질문을 담는 식이다.","The chapter 2 (10) is about questions such as ""Are you going to give up your life for me"" (John 13:38) under the Obedience To Sovereignty."
마음에 두다,그런 것까지 마음에 두고 있는 게 현명한 사람이다.,It is wise man to keep in mind such a thing.
가슴이 찢어지다,“내가 불쌍해서 대문도 칠해준 거냐”고 묻는 조보아와 이 말을 듣고 뒤틀린 오해에 가슴이 찢어지는 듯 눈물을 흘리는 유승호의 가슴 시린 장면이 차지했다.,"The heartbreaking scene of Yoo Seung-ho occupies the screen. He sheds tears as if his heart is being torn apart because of the twisted misunderstanding that Jo Bo-ah's question ""did you paint the front gate because you felt sorry for me?"" showed."
발등 찍히다,뮬러 특검 수사라는 ‘믿었던 도끼’에 발등이 찍힌 민주당은 청문회 개최·수사보고서 전문 공개·추가 조사 등을 주장하며 반전에 안간힘을 썼다.,"The main opposition Democratic Party, which was branded as the Believed Axe of Mueller independent counsel, struggled to turn around by insisting on holding a hearing, disclosing the full text of the investigation report, and conducting further investigations."
손이 닿다,"권역외상센터 도입, 응급의료전용헬기 도입, 국가응급진료정보망 구축, 재난응급의료상황실 운영 등 우리나라 응급의료체계에는 그의 손이 닿지 않은 것들이 없을 정도다.","His emergency medical system, including the introduction of regional trauma centers, the introduction of emergency medical helicopters, the establishment of a national emergency medical information network, and the operation of a disaster emergency medical emergency room, has no reach beyond his reach."
나 몰라라 하다,“김형준은 자기중심적이었고 나는 어린아이처럼 아무것도 몰랐다” “만약 시간을 되돌린다면 처음으로 돌아가자는 말을 외면하고 바로 신고했을 것” 등의 글이었다.,"Kim Hyung-joon was self-centered and I did not know anything like a child. ""If I turn back the time, I would have turned away from the words like 'go back the first time' and immediately reported."""
날개 펴다,"2030월드엑스포 개최를 통해 부산은 몸통격인 북항 일원의 원도심이 살아나고, 국제비즈니스·관광 컨벤션 중심지인 동부산과 항만·물류·산업의 중심인 서부산의 양 날개를 활짝 펴고 글로벌 도시로 힘차게 비상할 것이다.","Through the hosting of the 2030 World Expo, Busan will revive the original city center with the North Port as its center, and will make a vigorous advance into a global city with the wings of both East Busan, central to international business and tourism conventions, and West Busan, the center of logistics and industry."
몸에 배다,“돈은 버는 것이 아니라 모으는 거야”라며 가격비교 달인이 된 아버지의 영향으로 나도 절약정신이 몸에 배었다.,"Saying, ""I do not earn money but collect money,"" my father became a master of price comparison, and thanks to his influence, I also embraced the spirit of saving."
빛을 발하다,경찰은 국회에 계류 중인 ‘정보 경찰 관련 법안’이 처리되면 그간 자체적으로 진행해 온 개혁 조치가 더욱 빛을 발할 것으로 보고 있다.,"Police believe that the reform measures, which have been carried out on their own, will become more visible once the ""information police-related bills"" pending in the National Assembly are processed."
입에 담다,"‘사형’이라는 말을 입에 담는 순간, 지금까지 자명하게 정의의 편이라고 믿었던 나 자신이 무서운 존재라는 생각이 들었다.","When I put the word ""execution"" in my mouth, I felt myself to be a horrible being who I believed to be on the side of justice."
날개 돋치다,2016년 대선 당시 ‘샌더스 돌풍’을 타고 그의 저서가 날개 돋친 듯 팔리면서 거액을 벌어들인 덕분이다.,This is due to his huge profits from his book being sold like hot cakes thanks to his sweeping popularity during the 2016 presidential election.
답이 안 나오다,김찬호 경제적 손익을 따져보면 답이 안 나오는데도 매달린다.,"Considering Kim Chan-ho's economic gains and losses, sticks to it even though he doesn't have an answer."
발 빠르다,강원 강릉시가 ‘혁신도시 시즌2’ 유치를 위한 선제적 대응에 나선 가운데 학계에서도 발 빠른 행보를 보이면서 관심이 모아지고 있다.,"As Gangneung Gangneung has taken a preemptive response to attract 'Innovation City Season 2', the academic community is showing rapid progress, attracting attention."
눈이 번쩍 뜨이다,그것은 내 꿈을 실현해 준 눈이 번쩍 뜨일 만큼 놀라운 경험이었어요.,It was an eye-opening experience to make my dream come true.
귀를 세우다,7세반 아이들이 앞에 앉은 낯선 선생님을 호기심어린 눈으로 쳐다보며 말 한마디 한마디에 귀를 쫑끗 세웠다.,Children who are 7 and a half years old looked at the strange teacher in front of them with curious eyes and concentrated word to words.
말 되다,"4,000자 번역을 1,500원 2,500원에 해달라는 것 자체가 말이 안 되지.","It's ridiculous that you want me to translate 4,000 characters for 1,500KRW and 2,500KRW."
손가락 안에 들다,글로벌 기업 가운데 ‘혁신 지속 기업’의 반열에 드는 곳이 열 손가락 안에 드는 이유는 왜일까.,"Why is it that there are only less than 10 of global companies that are included in rank ""Innovation Continued Company""?"
귀를 열다,국민들은 재난방송과 긴급재난문자 등에 귀를 열어 놓고 야외 활동과 위험지역 출입을 자제하는 등 스스로 안전을 지켜야 한다.,Citizens should protect their own safety by keeping their ears open to disaster broadcasts and emergency disaster texts and avoiding outdoor activities and access to dangerous areas.
뿌리 깊다,계층 의식이 뿌리 깊은 존댓말 시스템이 존재합니다.,The honorific system exists in the unconscious of social stratum.
눈을 의심하다,가녀린 몸매에서는 상상조차 할 수 없는 고아라의 괴력이 놀라움을 자아내며 두 눈을 의심케 할 정도이다.,"The power of Go A-ra, which cannot be imagined in her slender figure, is enough to make you not believe with your eyes."
붓을 들다,"기로정시의 경우, 노인들에게도 더 기회를 주고자 했던 영조의 뜻을 새기며 붓을 들면 과거가 단순한 시험이 아닌 더 특별한 의미로 다가온다.","In the case of Giro State Examination ( Girojeongsi), through which King Yeongjo intended to give more opportunities to the elderly, when you take the brush, the meaning gets more special in rememberance of King Yeongjo."
말 그대로,그리고 그녀는 말 그대로 그녀 내면의 세계로 빠지는 것에 기쁨을 느낍니다.,And she delights in literally plunging into her inner world.
발 디딜 틈이 없다,"KBS, SBS, MBC 등의 한국의 방송 3사 취재 열기는 물론이거니와 수십 명의 외국 프레스들의 모습까지 단상에 꽉꽉 들어차 발 디딜 틈이 없었다.","Not only did Korean broadcasters such as KBS, SBS, and MBC compete passionately, but dozens of foreign presses filled stage without any room left."
꼬리 물다,‘더 뱅커’ 김상중이 강단 있는 카리스마로 서이숙의 채용 비리 사건을 해결하고 ‘비리 끝판왕’ 유동근의 꼬리를 물었다.,"Kim Sang-joong of The Banker, solved Seo Yi-sook's hiring scandal with his/her strong charisma and bit the tail of Yoo Dong-geun, the King of Corruption."
손 벌리다,‘언젠가는 꼭 실패해서 반드시 내게 손을 벌릴 줄 알고 있었다’고 질책하시는 무서운 하나님을 연상하게 되기 때문입니다.,"It is because it reminds me of a scary God who rebukes, ""I knew that one day, you will ask for my help after failing""."
총대 메다,‘고용 쇼크’에 이어 소득분배 지표 악화 등으로 수세에 몰렸던 청와대와 정부여당이 전열을 가다듬는 와중에 장 실장이 일종의 총대를 메고 대국민 홍보에 뛰어든 것으로 볼 수 있다.,"While Cheong Wa Dae and the government ruling party bracing themselves, after being flooded by the deterioration of the income distribution indicator following the 'employment shock', chief policy officer Jang had been in charge of promoting to the public."
눈길 모으다,3년 연속 서울시 자치회관 종합평가에서 우수구를 차지한 중구가 새로운 방식의 각 동 자치회관 평가를 실시해 눈길을 모으고 있다.,"Jung-gu District, which was selected as the excellent district in the comprehensive evaluation by Seoul Metropolitan Self-Governing Center for the three consecutive years, is attracting attention, as it used a new way of evaluating Self-Governing Center of Each neighborhood."
물고 늘어지다,"‘유소영이 남자를 물고 늘어지려고 작정을 했다’, ‘자기 뜨려고 손흥민을 이용했다’ 등의 댓글이 너무 많았고 너무 억울했다.","There were too many comments such as ""Yoo So-young was determined to bite a man"" and ""He used Son Heung-min to be famous"" and it was too unfair."
손바닥 뒤집듯,"그해 5월엔 공무원연금 개정안 무산에 항의하며 “여야간 합의된 사회적 대타협을 청와대의 가이드라인 하나로 손바닥 뒤집듯 깬 게 누구냐""고 새누리당 의원들을 향해 목소리를 높였다.","That year in May, he raised his voice towards the Saenuri Party members stating, “who is the person who broken the great social compromise agreed upon by the ruling and opposition parties using the single guidelines of the Blue House?” to complain about the dismissed public pension reform."
딱 잘라,그러나 솔직히 딱 잘라 분유 영양성분이나 제조 방법에 대해서는 식견이 부족한 게 사실입니다.,"However, to be honest, I do not have enough knowledge of the nutritional contents of powdered milk or how to make it."
눈에 불을 켜다,강도높은 훈련의 무서움을 알고 있는 선수들이 눈에 불을 켜고 리바운드 싸움에 가담하더니 역전승을 일궈내는 기적을 연출했다.,"Players, who knew the fear of intense training, lit up their eyes, engaged in a rebound fight, and performed a miracle that led to a reverse victory."
눈 맞다,"과거를 보러 한양으로 가던 선비가 천안 삼거리에서 유숙을 하였는데, 기생인 능수와 하필 눈이 맞아서 과거 날짜를 놓쳤다.","A classical scholar on his way to Hanyang for the civil service examination was lodged at Cheonan Samgeori. He was fallen in love with an entertainer Neungsu, missing the examination."
